stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00005000,-22.5833,115.85,-999.9,NA,BOOLALOO,NA,NA,NA
ASN00005001,-21.8047,117.8056,360,NA,COOLAWANYAH,NA,NA,NA
ASN00005002,-22.515,116.5825,280,NA,DUCK CREEK,NA,NA,NA
ASN00005003,-22.8975,120.1733,425,NA,ETHEL CREEK,NA,NA,NA
ASN00005004,-22.3761,114.1108,15,NA,EXMOUTH GULF,NA,NA,NA
ASN00005005,-22.2792,117.6772,590,NA,HAMERSLEY,NA,NA,NA
ASN00005006,-22.9119,116.2903,160,NA,KOOLINE,NA,NA,NA
ASN00005007,-22.2406,114.0967,5,NA,LEARMONTH AIRPORT,GS,N,9430
ASN00005008,-21.1906,115.9797,11,NA,MARDIE,NA,NA,9430
ASN00005009,-22.6331,119.4081,430,NA,MARILLANA,NA,NA,NA
ASN00005010,-22.9742,114.4597,120,NA,MARRILLA,NA,NA,NA
ASN00005011,-22.7,115.8,-999.9,NA,MEILGA,NA,NA,NA
ASN00005012,-21.5906,117.0656,300,NA,MILLSTREAM,NA,NA,NA
ASN00005013,-21.9961,115.0456,15,NA,MINDEROO,NA,NA,NA
ASN00005014,-21.7869,117.8647,450,NA,MOUNT FLORANCE,NA,NA,NA
ASN00005015,-22.1039,118.4703,400,NA,MULGA DOWNS,NA,NA,NA
ASN00005016,-21.6364,115.1117,4,NA,ONSLOW,NA,NA,9430
ASN00005017,-21.6689,115.1092,10.5,NA,ONSLOW AIRPORT,NA,NA,9530
ASN00005018,-21.85,115.6167,150,NA,PEEDAMULLAH,NA,NA,NA
ASN00005019,-21.6333,115.85,11,NA,WARRAMBOO,NA,NA,NA
ASN00005020,-22.6975,113.6747,10,NA,NINGALOO,NA,NA,NA
ASN00005021,-22.2667,115.4167,-999.9,NA,RANGE,NA,NA,NA
ASN00005022,-21.975,116.0653,150,NA,RED HILL,NA,NA,NA
ASN00005023,-22.6217,119.9564,410,NA,ROY HILL,NA,NA,NA
ASN00005024,-21.8067,114.1072,12,NA,VLAMINGH HEAD,NA,NA,NA
ASN00005025,-22.4,119.5333,-999.9,NA,WARRIE,NA,NA,NA
ASN00005026,-22.2425,118.3358,463,NA,WITTENOOM,NA,NA,9431
ASN00005027,-22.3167,118.3167,610,NA,WITTENOOM GORGE,NA,NA,NA
ASN00005028,-22.6906,116.2328,150,NA,WYLOO,NA,NA,NA
